HITId,directness,shock_annotator_sentiment,anger_annotator_sentiment,confusion_annotator_sentiment,sadness_annotator_sentiment,indifference_annotator_sentiment,disgust_annotator_sentiment,fear_annotator_sentiment,race_or_ethnicity,gender,religion,lgbtq,nationality,age,disability,class,none,abuse_level
2516,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5079,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
2276,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1382,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3780,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2581,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1536,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
360,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
2193,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2214,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
4998,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
5138,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
3326,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2272,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3539,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
658,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3444,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1475,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1411,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3058,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3680,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
811,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2780,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2696,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
535,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
761,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
