Toxic parent tweets,Toxic replies,Toxic Level
0.0,0.0,0
67.0,13.0,2
28.0,45.0,2
47.0,49.0,2
97.0,7.0,3
0.0,0.0,0
0.0,0.0,0
54.0,0.0,2
1.0,0.0,1
2.0,0.0,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
223.0,8.0,4
0.0,0.0,0
0.0,0.0,0
17.0,0.0,1
58.0,10.0,2
55.0,13.0,2
47.0,9.0,2
55.0,16.0,2
47.0,15.0,2
97.0,10.0,3
17.0,1.0,1
142.0,0.0,3
57.0,3.0,2
49.0,1.0,2
35.0,0.0,1
42.0,4.0,1
94.0,6.0,3
0.0,0.0,0
2.0,0.0,1
0.0,2.0,1
1.0,5.0,1
47.0,1.0,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
3.0,0.0,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
1.0,0.0,1
0.0,0.0,0
98.0,0.0,2
0.0,0.0,0
0.0,0.0,0
5.0,0.0,1
0.0,0.0,0
0.0,0.0,0
16.0,34.0,2
12.0,0.0,1
0.0,0.0,0
6.0,1.0,1
8.0,0.0,1
17.0,0.0,1
17.0,0.0,1
0.0,0.0,0
5.0,0.0,1
43.0,0.0,1
0.0,0.0,0
7.0,0.0,1
0.0,0.0,0
0.0,0.0,0
23.0,21.0,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
1.0,0.0,1
0.0,0.0,0
0.0,0.0,0
4.0,5.0,1
11.0,9.0,1
0.0,0.0,0
0.0,0.0,0
152.0,0.0,4
0.0,0.0,0
0.0,0.0,0
49.0,59.0,3
0.0,0.0,0
104.0,13.0,3
17.0,0.0,1
12.0,1.0,1
12.0,1.0,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
28.0,0.0,1
46.0,11.0,2
32.0,0.0,1
1.0,0.0,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
4.0,1.0,1
32.0,0.0,1
5.0,1.0,1
0.0,0.0,0
12.0,0.0,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
121.0,0.0,3
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
7.0,26.0,1
3.0,8.0,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
5.0,0.0,1
38.0,0.0,1
2.0,1.0,1
1.0,0.0,1
14.0,33.0,1
21.0,64.0,2
23.0,64.0,2
0.0,0.0,0
20.0,0.0,1
1.0,0.0,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
30.0,0.0,1
44.0,0.0,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
804.0,0.0,4
0.0,0.0,0
0.0,0.0,0
45.0,0.0,1
0.0,0.0,0
0.0,0.0,0
11.0,13.0,1
19.0,31.0,2
0.0,0.0,0
61.0,0.0,2
217.0,0.0,4
0.0,0.0,0
0.0,0.0,0
4.0,0.0,1
0.0,0.0,0
0.0,0.0,0
3.0,0.0,1
1.0,0.0,1
0.0,0.0,0
5.0,0.0,1
14.0,0.0,1
0.0,0.0,0
0.0,0.0,0
4.0,0.0,1
2.0,0.0,1
30.0,0.0,1
9.0,1.0,1
0.0,1.0,1
0.0,0.0,0
0.0,0.0,0
139.0,2.0,3
0.0,6.0,1
2.0,9.0,1
0.0,0.0,0
0.0,17.0,1
0.0,13.0,1
0.0,17.0,1
0.0,0.0,0
2.0,16.0,1
0.0,0.0,0
0.0,0.0,0
1.0,0.0,1
15.0,1.0,1
0.0,0.0,0
43.0,0.0,1
19.0,0.0,1
12.0,1.0,1
1.0,38.0,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
1.0,0.0,1
2.0,0.0,1
0.0,0.0,0
0.0,15.0,1
1.0,34.0,1
1.0,51.0,2
0.0,2.0,1
1.0,1.0,1
1.0,0.0,1
0.0,0.0,0
0.0,0.0,0
1.0,0.0,1
1.0,0.0,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
4.0,0.0,1
0.0,0.0,0
0.0,0.0,0
3.0,81.0,2
0.0,0.0,0
2.0,47.0,1
6.0,81.0,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
13.0,0.0,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,2.0,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
3.0,0.0,1
0.0,5.0,1
0.0,0.0,0
105.0,4.0,3
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
4.0,0.0,1
32.0,0.0,1
0.0,0.0,0
0.0,0.0,0
0.0,49.0,1
0.0,0.0,0
237.0,0.0,4
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
10.0,0.0,1
31.0,2.0,1
0.0,0.0,0
0.0,0.0,0
12.0,0.0,1
8.0,0.0,1
5.0,3.0,1
0.0,0.0,0
3.0,0.0,1
0.0,0.0,0
11.0,2.0,1
82.0,39.0,3
102.0,0.0,3
244.0,0.0,4
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
1.0,0.0,1
16.0,4.0,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
1.0,0.0,1
67.0,0.0,2
