Filename,followers_count,friends_count,verified,statuses_count,following,user_mentions,Num replies with high Toxicity,Num replies with high Severe_Toxicity,Num replies with high Identity_Attack,Num replies with high Insult,Num replies with high Profanity,Num replies with high Threat,Num replies with high other attr,Top Desc Word #1: women,Top Desc Word #2: love,Top Desc Word #3: news,Top Desc Word #4: account,Top Desc Word #5: feminist,Top Desc Word #6: official,Top Desc Word #7: follow,Top Desc Word #8: products,Top Desc Word #9: tweets,Top Desc Word #10: womens
1000200192,39632,15271,No,71848,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1000485576771080000,20606,9472,No,167382,No,Yes,1,0,2,0,10,0,0,No,No,No,No,No,No,No,No,No,No
1000485576771080000,20445,9396,No,165314,No,Yes,1,0,17,1,25,1,0,No,No,No,No,No,No,No,No,No,No
1000485576771080000,20506,9430,No,166164,No,Yes,3,0,9,2,33,2,0,No,No,No,No,No,No,No,No,No,No
1000485576771080000,20583,9469,No,167488,No,Yes,0,0,0,0,7,0,0,No,No,No,No,No,No,No,No,No,No
1001700306231680000,74,43,No,108,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1001726978846870000,2178,640,No,137157,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1002749401,3511,3462,No,118819,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,Yes,No,No
1003276498994840000,289,2320,No,22459,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1003276498994840000,285,2326,No,22655,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1004225337163740000,14036,57,No,145190,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1005029681102450000,87,56,No,34667,No,Yes,0,0,0,0,0,0,0,No,No,Yes,No,No,No,No,No,No,No
1005029681102450000,94,56,No,35339,No,Yes,0,0,0,0,0,0,0,No,No,Yes,No,No,No,No,No,No,No
100507316,4495,2228,No,645799,No,No,0,0,1,0,7,0,0,No,No,No,No,No,No,No,No,No,No
1005135519355760000,300,29,No,3832,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1005357753861390000,230,0,No,95314,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1005900165847350000,523,921,No,24078,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1006521602769480000,115382,179,No,12924,No,Yes,0,0,0,4,6,0,0,No,No,No,No,No,No,No,No,No,No
1006521602769480000,114937,179,No,13076,No,Yes,0,0,1,5,7,0,0,No,No,No,No,No,No,No,No,No,No
1006521602769480000,111772,179,No,13887,No,Yes,1,0,0,2,6,0,0,No,No,No,No,No,No,No,No,No,No
1006521602769480000,112219,180,No,13796,No,Yes,1,0,2,2,11,0,0,No,No,No,No,No,No,No,No,No,No
1006521602769480000,113250,177,No,13598,No,Yes,1,0,0,2,11,1,0,No,No,No,No,No,No,No,No,No,No
1006521602769480000,115761,179,No,12912,No,Yes,0,0,0,2,8,0,0,No,No,No,No,No,No,No,No,No,No
1006621012463620000,4774,1304,No,38520,No,Yes,0,0,0,0,1,0,0,No,No,No,No,No,No,No,No,No,No
1006875001650280000,2014,50,No,18170,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1011011646075140000,44100,14,No,11294,No,Yes,0,0,0,0,3,0,0,No,No,No,No,No,No,No,No,Yes,No
1011011646075140000,41294,14,No,10682,No,Yes,0,0,0,1,0,0,0,No,No,No,No,No,No,No,No,Yes,No
1011011646075140000,41905,14,No,10833,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,Yes,No
1011011646075140000,42590,14,No,10974,No,Yes,0,0,0,0,4,0,0,No,No,No,No,No,No,No,No,Yes,No
1011011646075140000,44263,14,No,11325,No,Yes,0,0,0,0,6,0,0,No,No,No,No,No,No,No,No,Yes,No
1011218769476290000,873,651,No,1897,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1011580472709780000,14351,1556,No,37631,No,Yes,0,0,0,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No
1011580472709780000,14364,1558,No,37683,No,Yes,0,0,0,2,0,0,0,Yes,No,No,No,No,No,No,No,No,No
1011580472709780000,14307,1560,No,37531,No,Yes,0,0,0,1,4,0,0,Yes,No,No,No,No,No,No,No,No,No
1011639387086610000,1480,293,No,9824,No,Yes,0,0,0,0,1,0,0,No,No,No,No,No,No,No,No,No,No
1012244019450010000,407,588,No,20600,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1012244019450010000,407,586,No,20600,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1013028856117320000,5542,2388,No,57949,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1013105489914330000,143182,2096,No,163431,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1013538977469640000,7792,1136,No,17499,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1013538977469640000,7802,1136,No,17535,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1013538977469640000,7864,1133,No,17983,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1014058470008600000,1297,3688,No,28290,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1014099396273810000,1497,120,No,41684,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1014416710928130000,300,297,No,486,No,Yes,0,0,0,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No
101563947,751,2446,No,97060,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1016501881659640000,1121,987,No,14598,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1017156369747760000,102295,588,No,13946,No,Yes,5,0,4,3,40,1,0,No,No,No,No,No,No,No,No,No,No
1017894988431150000,1357,405,No,35625,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1018189621556120000,1519,1201,No,38190,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1020281462,1226,204,No,2244,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1020511766407670000,8379,1,No,85635,No,Yes,0,0,0,0,0,0,0,No,No,No,Yes,No,No,No,No,No,No
1021361523589980000,28390,23316,No,135015,No,Yes,3,0,0,14,16,1,0,No,No,No,No,No,No,No,No,No,No
