Num Parent Tweets,Num Replies to Parents,Avg Replies per Parent,Num Parent Tweets with Replies,Avg Replies per Parent with Replies,Num Toxic Parent Tweets,Num Non-Toxic Parent Tweets,Num Toxic Replies,Num Non-Toxic Replies,Num Toxic Replies to Non-Toxic Parents,Num Non-Toxic Replies to Non-Toxic Parents,Num Toxic Replies to Toxic Parents,Num Non-Toxic Replies to Toxic Parents,followers_count,friends_count,listed_count,created_at,favourites_count,geo_enabled,verified,statuses_count,contributors_enabled,is_translator,is_translation_enabled,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,geo,place,truncated,hashtags,symbols,user_mentions,urls,contributors,is_quote_status,retweet_count min,retweet_count avg,retweet_count max,favorite_count min,favorite_count avg,favorite_count max,favorited,retweeted,possibly_sensitive,Num Repliers With Min 1 Toxic Reply,Num parents with high Toxicity,Num parents with high Severe_Toxicity,Num parents with high Identity_Attack,Num parents with high Insult,Num parents with high Profanity,Num parents with high Threat,Num parents with high other attr,Num replies with high Toxicity,Num replies with high Severe_Toxicity,Num replies with high Identity_Attack,Num replies with high Insult,Num replies with high Profanity,Num replies with high Threat,Num replies with high other attr,Total tweets with high Toxicity,Total tweets with high Severe_Toxicity,Total tweets with high Identity_Attack,Total tweets with high Insult,Total tweets with high Profanity,Total tweets with high Threat,Total tweets with high other attr,Num Repliers,Num parents with <3 replies,Num parents with >=3 replies,User Desc,Top Desc Word #1: women,Top Desc Word #2: love,Top Desc Word #3: news,Top Desc Word #4: account,Top Desc Word #5: feminist,Top Desc Word #6: official,Top Desc Word #7: follow,Top Desc Word #8: products,Top Desc Word #9: tweets,Top Desc Word #10: womens
377,696,1.846153846,102,6.823529412,0,377,0,696,0,696,0,0,39632,15271,30,Sun Dec 09 21:20:59 +0000 2012,100295,Yes,No,71848,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,54.33156499,609,3,277.5225464,3394,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,313,64,User Desc,No,No,No,No,No,No,No,No,No,No
1171,252,0.215200683,87,2.896551724,67,1104,13,239,11,227,2,12,20606,9472,81,Sat May 26 21:15:24 +0000 2018,16825,No,No,167382,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,0,9.350982067,1860,0,27.10333049,5362,No,No,No,12,1,0,20,0,44,2,0,1,0,2,0,10,0,0,2,0,22,0,54,2,0,210,1152,19,User Desc,No,No,No,No,No,No,No,No,No,No
1009,1505,1.491575818,444,3.38963964,28,981,45,1460,38,1439,7,21,20445,9396,81,Sat May 26 21:15:24 +0000 2018,16146,No,No,165314,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,13.70961348,3451,0,43.61446977,16983,No,No,No,40,1,0,8,2,17,0,0,1,0,17,1,25,1,0,2,0,25,3,42,1,0,1145,916,93,User Desc,No,No,No,No,No,No,No,No,No,No
1087,1303,1.198712052,411,3.170316302,47,1040,49,1254,43,1176,6,78,20506,9430,83,Sat May 26 21:15:24 +0000 2018,16294,No,No,166164,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,0,13.72677093,3458,0,44.8325667,17002,No,No,No,43,0,0,21,3,23,0,0,3,0,9,2,33,2,0,3,0,30,5,56,2,0,980,999,88,User Desc,No,No,No,No,No,No,No,No,No,No
1185,147,0.124050633,58,2.534482759,97,1088,7,140,7,128,0,12,20583,9469,81,Sat May 26 21:15:24 +0000 2018,16891,No,No,167488,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,0,9.063291139,1858,0,26.3907173,5364,No,No,No,7,2,0,30,2,59,4,0,0,0,0,0,7,0,0,2,0,30,2,66,4,0,127,1172,13,User Desc,No,No,No,No,No,No,No,No,No,No
19,0,0,0,0,0,19,0,0,0,0,0,0,74,43,0,Wed May 30 05:42:18 +0000 2018,316,No,No,108,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,1.526315789,4,0,4.526315789,10,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,User Desc,No,No,No,No,No,No,No,No,No,No
15,0,0,0,0,0,15,0,0,0,0,0,0,2178,640,3,Wed May 30 07:28:17 +0000 2018,195943,No,No,137157,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0,0.6,2,0,0.8,3,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,User Desc,No,No,No,No,No,No,No,No,No,No
1288,8,0.00621118,8,1,54,1234,0,8,0,7,0,1,3511,3462,11,Mon Dec 10 22:49:40 +0000 2012,35014,Yes,No,118819,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,0,0.806677019,125,0,1.652173913,349,No,No,No,0,0,0,5,1,47,1,0,0,0,0,0,0,0,0,0,0,5,1,47,1,0,8,1288,0,User Desc,No,No,No,No,No,No,No,Yes,No,No
3200,0,0,0,0,1,3199,0,0,0,0,0,0,289,2320,0,Sun Jun 03 14:05:32 +0000 2018,357,No,No,22459,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,0,0.0003125,1,0,0.0165625,2,No,No,No,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3200,0,User Desc,No,No,No,No,No,No,No,No,No,No
3200,0,0,0,0,2,3198,0,0,0,0,0,0,285,2326,0,Sun Jun 03 14:05:32 +0000 2018,368,No,No,22655,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,0,0.0003125,1,0,0.02,2,No,No,No,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3200,0,User Desc,No,No,No,No,No,No,No,No,No,No
2893,8,0.002765296,7,1.142857143,0,2893,0,8,0,8,0,0,14036,57,250,Wed Jun 06 04:55:52 +0000 2018,516,No,No,145190,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,0,5.844452126,185,0,3.249222261,99,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2893,0,User Desc,No,No,No,No,No,No,No,No,No,No
3200,0,0,0,0,0,3200,0,0,0,0,0,0,87,56,2,Fri Jun 08 10:12:03 +0000 2018,30,No,No,34667,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,0,0.10375,3,0,0.07375,4,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,User Desc,No,No,Yes,No,No,No,No,No,No,No
3200,0,0,0,0,0,3200,0,0,0,0,0,0,94,56,2,Fri Jun 08 10:12:03 +0000 2018,30,No,No,35339,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,0,0.098125,2,0,0.06,5,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,User Desc,No,No,Yes,No,No,No,No,No,No,No
