text,Trump,Biden,West,HOF
@SukiRavan @ProgressPotato @MarkZuckerb0rg @JSiffordson @KyleKulinski If Joe Biden is .00000000000000001 % better I will vote for him.,0.0,4.0,0.0,Non-Hateful
@Newsweek Are you freaking crazy????[NEWLINE]I’d rather watch A Roto Rooter team clean out my sewers than more of #BronzeBoy spewing his endless lies and distortions. It’s the same old same old racist crap. America if you fall for this again you deserve what you get[NEWLINE]#VoteBlue2020,0.0,4.0,0.0,Non-Hateful
"Undecided voters (and MAGATs alike);[NEWLINE]If you're worried about Joe sniffing hair, why aren't you worried about tRUmp grabbing someone's pu$$y?[NEWLINE][NEWLINE]If you're worried about Hunter, why aren't you worried about Ivanka?[NEWLINE][NEWLINE]If you're worried about Kamala, why aren't you worried about Mike?",1.0,2.0,0.0,Non-Hateful
@cheaterwins @Hungry_For_More @DAYSORSHAY So as of right now President Trump is more likely to win then Biden I'm basing this off of likelihood I'm not saying who's going to win but President Trump is more likely to win[NEWLINE][NEWLINE]#trump2020 #keepAmericagreat #Trumpisthebestpresident,4.0,2.0,0.0,Non-Hateful
"@CNN Nancy Pelosi and the Dems wont do a deal because it would make Trump look good. Forget those with hungry kids, car about to get repo’d, behind on their mortgage. They want a homeless population that will never vote against the hands that feeds them. It’s total control.",2.0,0.0,0.0,Non-Hateful
"@EvanAKilgore @PressSec @johnrobertsFox Looks like a duck, walks like a duck... #Trump2020 [NEWLINE][NEWLINE]https://t.co/X5IOFTM0Lw",1.0,0.0,0.0,Non-Hateful
"@ACTforAmerica @realDonaldTrump We love him too!! The best President, President Trump🇺🇸♥️#Trump2020",4.0,0.0,0.0,Non-Hateful
@realDonaldTrump I don't have a 401k #bidenharris2020,2.0,4.0,0.0,Non-Hateful
@kayleighmcenany @realDonaldTrump Omfg....THE MOST IRRESPONSIBLE CRETINOUS SELFISH ENTITY 9N THE PLANET...IS THE PRESIDENT!!!! #BidenHarris2020 GET HIM OUUUUUUTTTTTT,1.0,4.0,0.0,Non-Hateful
"So, the NY Post writes an article about Biden family corruption. Twitter, Facebook censor it. Then the Biden campaign says the censorship itself ""made clear"" the story was bogus. Got that? Corrupt censorship validates the corruption. I'm back in the USSR.[NEWLINE]https://t.co/vwPulWxazr",0.0,1.0,0.0,Non-Hateful
"@greenfield64 No Way!   @realDonaldTrump   F**K Trump  Wish him the best but you know what, he knew the risks and should have worn a mask.  #BidenHarris2020 #screwtrump...",1.0,4.0,0.0,Hateful
"Harris on voting rights: ‘He knows he can’t win if people vote. Donald Trump is weak so he’s throwing up every roadblock he can to suppress the vote, and we the people cannot let him get away with it.’ https://t.co/RAnxwFs15I",2.0,2.0,0.0,Non-Hateful
"So my 77 year old mother stood in line 5 hours to vote in #Georgia today. As she stood there, an armed man wearing #Trump gear walked up and down the line with a gun in his holster, presumably to scare. This is not voter supression, its Voter intimidation [NEWLINE]#ThisIsAmerica",1.0,0.0,0.0,Non-Hateful
Do u want a Dem monarchy? Joe Biden Declares Voters ‘Don’t Deserve’ to Know His Position on Court Packing https://t.co/VlgyDhYVKf,0.0,1.0,0.0,Non-Hateful
To the new stewards of the highest elected offices... Congrats Joe &amp; Kamala #BidenHarris2020,0.0,4.0,0.0,Non-Hateful
I don’t know how democrats aren’t embarrassed to have Joe Biden &amp; Kamala Harris as their candidates[NEWLINE][NEWLINE]They must be counting on a Marxist government in the future that will destroy all the evidence of these complete sham candidates &amp; the manipulation of the narrative by the Media,0.0,1.0,0.0,Non-Hateful
I see Trump is trying to buy my vote with these tax cuts and now sending $200 to all the seniors dam it worked I’m voting for Trump #Trump2020,4.0,0.0,0.0,Non-Hateful
"@JoeBiden just delivered an amazing speech! 👍 For the first time in 4 years, especially 2020, I feel comforted. I feel assured that someone competent is speaking to me from our Gov't. Someone who has logical plans to fix our economy! [NEWLINE][NEWLINE]#BidenHarris2020 [NEWLINE]#KeepBidenSafe [NEWLINE]#VOTE https://t.co/ewYLq4qB88",0.0,4.0,0.0,Non-Hateful
@Trentasaurusre1 😁 You'll be fine. Joe and Kamala are basically Republicans anyway. And Trump's...well Putin's bitch. Glad you're good ❤😜,1.0,1.0,0.0,Hateful
Biden and Harris would allow a baby to be aborted 5 minutes before birth! They are RADICAL and will push for policies that will destroy America. Vote today to protect the lives of millions of unborn children in our nation.[NEWLINE][NEWLINE]https://t.co/HaGw8OiJEp,0.0,1.0,0.0,Non-Hateful
My client who died of #COVID19 didn't feel 20 years younger. [NEWLINE][NEWLINE]#TrumpCovid19 [NEWLINE]#COVIDIOT [NEWLINE]#WhiteHouseVirus [NEWLINE]#BidenHarris2020,1.0,4.0,0.0,Hateful
@MoNiicole Big mad! You're a Christian but hate Joe Biden and Kamala Harris....right! Lol,0.0,2.0,0.0,Non-Hateful
"To obama trump didn,'t know there was a covid 19 the china didn't think alert the world of a virus that was deadly. I didn't even know it was coming out even though I do plan things to help those who want too die there are only so many ways",2.0,0.0,0.0,Non-Hateful
#HawaiiForTrump[NEWLINE][NEWLINE]I'd like to thank #BLM[NEWLINE]and #BidenHarris2020[NEWLINE]for showing up to our Trump rally.[NEWLINE]Does anyone know who these ladies are? https://t.co/azYiBMroa7,4.0,1.0,0.0,Non-Hateful
"#Trump2020, #BernieBros, #fakegressives &amp; their #Russian Troll friends are trying to steal #Election2020! Make a plan  now to #VoteByMail, #EarlyVote or on #ElectionDay Nov 3rd for #BidenHarris2020! Together, we can #FlipTheSenate &amp; restore the soul of our #nation!",1.0,4.0,0.0,Non-Hateful
@HillaryClinton 😂😂😂😂 you’re just way too much and you’re going to spent the rest of your life in prison!! #gitmo #trump2020,4.0,0.0,0.0,Non-Hateful
@KamalaHarris God be with us! #Trump2020,4.0,2.0,0.0,Non-Hateful
@NateSilver538 The debates will help? Trump? ROFL that orange moron thinks he can wing it. His downfall is that he's believing his own fake propaganda. I look forward to him making a complete ass of himself as he tries to lie his way through the debates. [NEWLINE]#VoteBlue2020 [NEWLINE]#Vote [NEWLINE]#BidenHarris2020,1.0,4.0,0.0,Hateful
@amberlywaves Happy birthday 🎂💐🎉 know that you're as bright and as brilliant as the candles on your cake 💖 #VoteBlue2020 #HappyBirthday from a stranger since your fam is acting like tRump - #DumpTrump,1.0,4.0,0.0,Non-Hateful
@NBCNewYork Looks like the US DOJ is writing scripts for the Russian GRU troll farms. #VoteBlueToEndThisNightmare #BidenHarris2020,1.0,4.0,0.0,Non-Hateful
"@MarineVet1979 @covert_s1 @AnnieGetHerGun @YoHolz @drarpatil @MelTheBos1 @BadBoyIII4 @SexyAssPatriot2 @CarolinaIsAlpha @1st_ForceRecon @maahh68 @BrianBombastic @HHere4trump @jchutch2 @Cal_Davis99 @truth_sniper @JamesAmfedup #drellenbrandt #MAGA2020 ""FOFO Ratio"" It's Elitist and harmful to have a Followers vs Following system at Twitter or anywhere else. There should be no such system, just full two-way Connections between Internet users. 📣🇺🇸📣🇺🇸📣 https://t.co/nzVvdX0W4p",4.0,0.0,0.0,Non-Hateful
#vote #Debates2020 ⁦@jaketapper⁩ ⁦@romyreiner⁩  #BidenHarris2020 ⁦⁦@jimmykimmel⁩  #freedomatstake #GodHelpUS Think of the debate as a public park. The president was polluting it. https://t.co/uOBHQnRrhq,1.0,4.0,0.0,Non-Hateful
"Democrats abhor school choice, lower taxes, and want larger public programs.[NEWLINE][NEWLINE]What it means is they want you dumb, without money, and fed handouts like baby birds.[NEWLINE][NEWLINE]They don't want you to take care of you, that's their job.[NEWLINE][NEWLINE]#Election2020 #vote #Trump2020 #BidenHarris2020",4.0,1.0,0.0,Non-Hateful
"@__PrettyTea 2/In order to stop Biden and Kamala from waging war on Black men again, we need Black women such as yourself to keep them out of the White House by not voting. [NEWLINE][NEWLINE]Thanks for sympathizing with the Black man's plight.",0.0,1.0,0.0,Non-Hateful
WOW! NYT Calls on Tech Giants to Censor Trump and His Supporters on Election Night https://t.co/xIUf65Reob via @gatewaypundit [NEWLINE]Where do this people think they live⁉️🤬 #Trump2020 🇺🇸,4.0,0.0,0.0,Non-Hateful
@Kramou812 Only people ruining this country are Democrats. Not Trump's base doing the riots and burning businesses and acting like real fascists while waving communist flags. Democrats literally want to tear this country down and be an authoritative regime and they aren't even hiding it.,4.0,1.0,0.0,Non-Hateful
Trump and his camp is making a mockery of CoVid.[NEWLINE][NEWLINE]220K have died in this country along with nearly 8 million infections.[NEWLINE][NEWLINE]This is not a game or a joke.[NEWLINE][NEWLINE]#BidenHarris2020 [NEWLINE]#TrumpFakedCovid,1.0,4.0,0.0,Non-Hateful
"Plot that brought would-be assassin to Biden's home revealed, as list of violent threats grows https://t.co/d5Z90ngxXf [NEWLINE]Someone, please, bring #BillBarr up to date on who the REAL CRIMINALS are.",0.0,2.0,0.0,Non-Hateful
Someone yelled “go home pilgrims” at Trump supporters on Mooney. https://t.co/EDHj4wKfCk,2.0,0.0,0.0,Non-Hateful
It’s only going to get worse[NEWLINE]Pay attention Catholics [NEWLINE][NEWLINE]#RememberinNovember [NEWLINE]#FoxAndFriends  #MAGA #Ccot #ACB [NEWLINE]#Trump2020 #KAG #KAG2020 [NEWLINE]#SaturdayMorning #SaturdayThoughts [NEWLINE]#COVID19[NEWLINE][NEWLINE] https://t.co/u1PH7iezfC,4.0,0.0,0.0,Non-Hateful
"@GhostWritingUSA @redwins3_first Unless she’s suffering with severe menstrual cramps, she’s lost her f’ing mind. That’s what #TDS does to weak minds. #Trump2020 #Trump2020Landslide https://t.co/6WUePX2H7c",4.0,0.0,0.0,Hateful
"We like presidents that aren’t incompetent, don’t lie, don’t promote hate, are not corrupt and treasonous. #TrumpLiedAmericansDied #TrumpIsANationalDisgrace #BidenHarris2020  https://t.co/eBoXjohAUm",1.0,4.0,0.0,Hateful
Police for Trump have arrived. #Trump2020 #BackTheBlue #MAGA2020 #MAGA #Peacefulprotest #TrumpRally https://t.co/jrxtRIjFCI,4.0,0.0,0.0,Non-Hateful
Just listened to #BidenHarris2020 call with @BarackObama @KamalaHarris @MichaelBJordan &amp; I will #VOTE also requested a yard sign for my local candidate @SeanCasten @VoteCasten | Check https://t.co/hXQ7cuD79V to ensure you can exercise your right! #VoteBidenHarris2020 #VoteEarly,0.0,4.0,0.0,Non-Hateful
