Model,Dataset,RMSE,R2
Linear Regression,Convabuse,1.2506692288951176,0.2173429826486719
Linear Regression,Dynamically Generated Hate Speech,0.3365342736511525,0.5469775976385824
Linear Regression,Online Abusive Attacks,25.18447652673829,0.2470753986814943
Linear Regression,US Elections 2020 Hate Speech,0.4686345912207067,0.1212112575588127
Linear Regression,MLMA Hate Speech,1.439999707898464,0.0599994540241179
Lasso Regularization,Online Abusive Attacks,25.179174757723494,0.2473923726827247
Ridge Regularization,Online Abusive Attacks,25.184472810343816,0.2470756208949376
ElasticNet Regularization,Online Abusive Attacks,25.17847779396932,0.247434036715222
Linear Lasso Regression,Online Abusive Attacks,25.18447652673829,0.2470753986814943
Linear Ridge Regression,Online Abusive Attacks,25.07042266063495,0.253879551333844
Linear ElasticNet Regression,Online Abusive Attacks,25.07042266063495,0.253879551333844
Forward Selection,Online Abusive Attacks,29.13006391713429,-0.0073224342396764
Backward Selection,Online Abusive Attacks,29.13006391713429,-0.0073224342396764
Principal Components Regression,Online Abusive Attacks,25.18447652673829,0.2470753986814945
Principal Least Squares Regression,Online Abusive Attacks,25.18447652673829,0.2470753986814946
Support Vector Machine,Online Abusive Attacks,28.30312515817969,0.0490571554671998
Support Vector Machine,Online Abusive Attacks,110.85138508162002,-13.587063688318636
Decision Tree,Online Abusive Attacks,23.2378670617579,0.3589702920843916
Random Forest,Online Abusive Attacks,24.19443595764069,0.3051090830231068
K-Nearest Neighbors,Online Abusive Attacks,22.016795782450195,0.4245681988491535
Gradient Boosting,Online Abusive Attacks,55.32894746537383,-2.6340462349609064
